Tyre Size (mm),Tyre Mass (g),Pressure (Bars),Rim Size (mm),Wri (mm),Wro (mm),hr (mm),Rim Mass (g),Rim Iz (mm^4),Energy (J)
20,183,9,19,18.9,23.3,16.7,424,1.58E+03,3.1236
20,183,9,19,18.9,23.3,16.7,424,1.58E+03,3.3925
20,183,9,19,18.9,23.3,16.7,424,1.58E+03,3.2761
20,183,9,19,18.9,23.3,16.7,424,1.58E+03,3.2387
20,183,9,19,18.9,23.3,16.7,424,1.58E+03,3.1609
20,183,9,19,18.9,23.3,16.7,424,1.58E+03,3.2724
20,183,9,19,18.9,23.3,16.7,424,1.58E+03,3.2131
20,183,9,19,18.9,23.3,16.7,424,1.58E+03,3.3034
20,183,9,19,18.9,23.3,16.7,424,1.58E+03,3.3741
20,183,9,19,18.9,23.3,16.7,424,1.58E+03,3.3771
20,183,9,19,18.9,23.3,16.7,424,1.58E+03,3.1732
20,183,9,19,18.9,23.3,16.7,424,1.58E+03,3.104
20,183,9,19,18.9,23.3,16.7,424,1.58E+03,3.2751
20,183,9,19,18.9,23.3,16.7,424,1.58E+03,3.0519
20,183,9,19,18.9,23.3,16.7,424,1.58E+03,3.3058
20,183,9,19,18.9,23.3,16.7,424,1.58E+03,3.2842
20,183,9,19,18.9,23.3,16.7,424,1.58E+03,3.1743
20,183,9,19,18.9,23.3,16.7,424,1.58E+03,3.1346
20,183,9,19,18.9,23.3,16.7,424,1.58E+03,3.2221
20,183,9,19,18.9,23.3,16.7,424,1.58E+03,3.1777
20,183,9,19,18.9,23.3,16.7,424,1.58E+03,3.1202
20,183,9,19,18.9,23.3,16.7,424,1.58E+03,3.2058
20,183,9,19,18.9,23.3,16.7,424,1.58E+03,3.1082
20,183,9,19,18.9,23.3,16.7,424,1.58E+03,3.2577
20,183,9,19,18.9,23.3,16.7,424,1.58E+03,3.3632
20,183,9,19,18.9,23.3,16.7,424,1.58E+03,3.4018
20,183,9,19,18.9,23.3,16.7,424,1.58E+03,3.1361
20,183,9,19,18.9,23.3,16.7,424,1.58E+03,2.9747
20,183,9,19,18.9,23.3,16.7,424,1.58E+03,3.3162
20,183,9,19,18.9,23.3,16.7,424,1.58E+03,3.1863
20,183,9,19,18.9,23.3,16.7,424,1.58E+03,3.2735
20,183,9,19,18.9,23.3,16.7,424,1.58E+03,3.3174
20,183,9,19,18.9,23.3,16.7,424,1.58E+03,3.2582
20,183,9,19,18.9,23.3,16.7,424,1.58E+03,3.0917
20,183,9,19,18.9,23.3,16.7,424,1.58E+03,3.1607
20,183,9,19,18.9,23.3,16.7,424,1.58E+03,3.0727
20,183,9,19,18.9,23.3,16.7,424,1.58E+03,3.2418
20,183,9,19,18.9,23.3,16.7,424,1.58E+03,3.3022
20,183,9,19,18.9,23.3,16.7,424,1.58E+03,3.3345
20,183,9,19,18.9,23.3,16.7,424,1.58E+03,3.18
20,183,9,19,18.9,23.3,16.7,424,1.58E+03,3.3753
20,183,9,19,18.9,23.3,16.7,424,1.58E+03,3.299
20,183,9,19,18.9,23.3,16.7,424,1.58E+03,3.1208
20,183,9,19,18.9,23.3,16.7,424,1.58E+03,3.2926
20,183,9,19,18.9,23.3,16.7,424,1.58E+03,3.3964
20,183,9,19,18.9,23.3,16.7,424,1.58E+03,3.2549
20,183,9,19,18.9,23.3,16.7,424,1.58E+03,3.2152
20,183,9,19,18.9,23.3,16.7,424,1.58E+03,3.3763
20,183,9,19,18.9,23.3,16.7,424,1.58E+03,3.2226
20,183,9,19,18.9,23.3,16.7,424,1.58E+03,3.2027
20,183,9,19,18.9,23.3,16.7,424,1.58E+03,3.2265
20,183,9,19,18.9,23.3,16.7,424,1.58E+03,3.307
20,183,9,19,18.9,23.3,16.7,424,1.58E+03,3.1957
20,183,9,19,18.9,23.3,16.7,424,1.58E+03,3.2313
20,183,9,19,18.9,23.3,16.7,424,1.58E+03,3.3811
20,183,9,19,18.9,23.3,16.7,424,1.58E+03,3.3083
20,183,9,19,18.9,23.3,16.7,424,1.58E+03,3.2225
20,183,9,19,18.9,23.3,16.7,424,1.58E+03,3.3056
20,183,9,19,18.9,23.3,16.7,424,1.58E+03,3.2928
20,183,9,19,18.9,23.3,16.7,424,1.58E+03,3.1197
20,183,8,19,18.9,23.3,16.7,424,1.58E+03,2.9023
20,183,8,19,18.9,23.3,16.7,424,1.58E+03,2.8577
20,183,8,19,18.9,23.3,16.7,424,1.58E+03,2.8038
20,183,8,19,18.9,23.3,16.7,424,1.58E+03,2.8505
20,183,8,19,18.9,23.3,16.7,424,1.58E+03,2.6494
20,183,8,19,18.9,23.3,16.7,424,1.58E+03,2.7434
20,183,8,19,18.9,23.3,16.7,424,1.58E+03,2.6265
20,183,8,19,18.9,23.3,16.7,424,1.58E+03,2.7684
20,183,8,19,18.9,23.3,16.7,424,1.58E+03,2.8714
20,183,8,19,18.9,23.3,16.7,424,1.58E+03,2.9172
20,183,8,19,18.9,23.3,16.7,424,1.58E+03,2.6455
20,183,8,19,18.9,23.3,16.7,424,1.58E+03,2.5309
20,183,8,19,18.9,23.3,16.7,424,1.58E+03,2.8202
20,183,8,19,18.9,23.3,16.7,424,1.58E+03,2.6647
20,183,8,19,18.9,23.3,16.7,424,1.58E+03,2.8184
20,183,8,19,18.9,23.3,16.7,424,1.58E+03,2.8047
20,183,8,19,18.9,23.3,16.7,424,1.58E+03,2.6503
20,183,8,19,18.9,23.3,16.7,424,1.58E+03,2.6169
20,183,8,19,18.9,23.3,16.7,424,1.58E+03,2.7021
20,183,8,19,18.9,23.3,16.7,424,1.58E+03,2.6399
20,183,8,19,18.9,23.3,16.7,424,1.58E+03,2.4618
20,183,8,19,18.9,23.3,16.7,424,1.58E+03,2.6759
20,183,8,19,18.9,23.3,16.7,424,1.58E+03,2.7353
20,183,8,19,18.9,23.3,16.7,424,1.58E+03,2.7699
20,183,8,19,18.9,23.3,16.7,424,1.58E+03,2.5257
20,183,8,19,18.9,23.3,16.7,424,1.58E+03,2.3615
20,183,8,19,18.9,23.3,16.7,424,1.58E+03,2.6804
20,183,8,19,18.9,23.3,16.7,424,1.58E+03,2.5403
20,183,8,19,18.9,23.3,16.7,424,1.58E+03,2.6713
20,183,8,19,18.9,23.3,16.7,424,1.58E+03,2.7032
20,183,8,19,18.9,23.3,16.7,424,1.58E+03,2.5814
20,183,8,19,18.9,23.3,16.7,424,1.58E+03,2.5409
20,183,8,19,18.9,23.3,16.7,424,1.58E+03,2.6149
20,183,8,19,18.9,23.3,16.7,424,1.58E+03,2.4342
20,183,8,19,18.9,23.3,16.7,424,1.58E+03,2.5663
20,183,8,19,18.9,23.3,16.7,424,1.58E+03,2.7075
20,183,8,19,18.9,23.3,16.7,424,1.58E+03,2.7325
20,183,8,19,18.9,23.3,16.7,424,1.58E+03,2.4729
20,183,8,19,18.9,23.3,16.7,424,1.58E+03,2.4191
20,183,8,19,18.9,23.3,16.7,424,1.58E+03,2.623
20,183,8,19,18.9,23.3,16.7,424,1.58E+03,2.8265
20,183,8,19,18.9,23.3,16.7,424,1.58E+03,2.9053
20,183,8,19,18.9,23.3,16.7,424,1.58E+03,2.8878
20,183,8,19,18.9,23.3,16.7,424,1.58E+03,2.8442
20,183,8,19,18.9,23.3,16.7,424,1.58E+03,2.7048
20,183,8,19,18.9,23.3,16.7,424,1.58E+03,2.7895
20,183,8,19,18.9,23.3,16.7,424,1.58E+03,2.6279
20,183,8,19,18.9,23.3,16.7,424,1.58E+03,2.8443
20,183,8,19,18.9,23.3,16.7,424,1.58E+03,2.9955
20,183,8,19,18.9,23.3,16.7,424,1.58E+03,3.0183
20,183,8,19,18.9,23.3,16.7,424,1.58E+03,2.7815
20,183,8,19,18.9,23.3,16.7,424,1.58E+03,2.6677
20,183,8,19,18.9,23.3,16.7,424,1.58E+03,2.8551
20,183,8,19,18.9,23.3,16.7,424,1.58E+03,2.6768
20,183,8,19,18.9,23.3,16.7,424,1.58E+03,2.8923
20,183,8,19,18.9,23.3,16.7,424,1.58E+03,2.857
20,183,8,19,18.9,23.3,16.7,424,1.58E+03,2.7545
20,183,8,19,18.9,23.3,16.7,424,1.58E+03,2.686
20,183,8,19,18.9,23.3,16.7,424,1.58E+03,2.7965
20,183,8,19,18.9,23.3,16.7,424,1.58E+03,2.6749
20,183,7,19,18.9,23.3,16.7,424,1.58E+03,2.1988
20,183,7,19,18.9,23.3,16.7,424,1.58E+03,2.2845
20,183,7,19,18.9,23.3,16.7,424,1.58E+03,2.1432
20,183,7,19,18.9,23.3,16.7,424,1.58E+03,2.2787
20,183,7,19,18.9,23.3,16.7,424,1.58E+03,2.1849
20,183,7,19,18.9,23.3,16.7,424,1.58E+03,2.0321
20,183,7,19,18.9,23.3,16.7,424,1.58E+03,2.2814
20,183,7,19,18.9,23.3,16.7,424,1.58E+03,2.24
20,183,7,19,18.9,23.3,16.7,424,1.58E+03,2.3036
20,183,7,19,18.9,23.3,16.7,424,1.58E+03,2.2979
20,183,7,19,18.9,23.3,16.7,424,1.58E+03,2.1619
20,183,7,19,18.9,23.3,16.7,424,1.58E+03,2.1199
20,183,7,19,18.9,23.3,16.7,424,1.58E+03,2.2306
20,183,7,19,18.9,23.3,16.7,424,1.58E+03,2.1139
20,183,7,19,18.9,23.3,16.7,424,1.58E+03,2.2382
20,183,7,19,18.9,23.3,16.7,424,1.58E+03,2.2138
20,183,7,19,18.9,23.3,16.7,424,1.58E+03,2.1139
20,183,7,19,18.9,23.3,16.7,424,1.58E+03,2.2048
20,183,7,19,18.9,23.3,16.7,424,1.58E+03,2.2342
20,183,7,19,18.9,23.3,16.7,424,1.58E+03,2.2134
20,183,7,19,18.9,23.3,16.7,424,1.58E+03,2.2639
20,183,7,19,18.9,23.3,16.7,424,1.58E+03,2.1529
20,183,7,19,18.9,23.3,16.7,424,1.58E+03,2.1731
20,183,7,19,18.9,23.3,16.7,424,1.58E+03,2.0058
20,183,7,19,18.9,23.3,16.7,424,1.58E+03,2.215
20,183,7,19,18.9,23.3,16.7,424,1.58E+03,2.2396
20,183,7,19,18.9,23.3,16.7,424,1.58E+03,2.3068
20,183,7,19,18.9,23.3,16.7,424,1.58E+03,2.0671
20,183,7,19,18.9,23.3,16.7,424,1.58E+03,2.0091
20,183,7,19,18.9,23.3,16.7,424,1.58E+03,2.244
20,183,7,19,18.9,23.3,16.7,424,1.58E+03,2.0813
20,183,7,19,18.9,23.3,16.7,424,1.58E+03,2.2387
20,183,7,19,18.9,23.3,16.7,424,1.58E+03,2.1145
20,183,7,19,18.9,23.3,16.7,424,1.58E+03,2.073
20,183,7,19,18.9,23.3,16.7,424,1.58E+03,2.0122
20,183,7,19,18.9,23.3,16.7,424,1.58E+03,2.188
20,183,7,19,18.9,23.3,16.7,424,1.58E+03,2.135
